target,Ebeam,Eprime,theta,xB,Q2,sigma_born,sigma_born_in,sigma_born_qe,sigma_rad,sigma_rad_el,sigma_rad_qe,sigma_rad_dis,coulomb_factor,dis_rc_factor,dis_rc_factor_err
Cu,10.5,4.513,19.17,0.4678,5.2553,111.93,111.93,0.0015252,109.43,2.8166e-06,0.32736,109.1,1.0085,1.0228456547564653,0.0
Cu,10.5,3.272,25.74,0.5027,6.818,28.795,28.794,0.00088895,28.792,1.7547e-08,0.11581,28.676,1.0132,1.0001041956098917,0.0
Cu,10.5,6.581,14.16,0.571,4.199,293.38,292.92,0.4562,267.46,4.0596e-09,1.6047,265.85,1.0087,1.0969116877290064,0.0
Cu,10.5,5.655,17.35,0.5943,5.4032,91.476,91.383,0.093088,84.298,4.7521e-10,0.35376,83.944,1.0112,1.0851503001257443,0.0
Cu,10.5,4.217,23.5,0.623,7.3449,19.132,19.121,0.011276,18.025,3.0509e-11,0.058706,17.966,1.0162,1.0614147018030515,0.0
Sn,10.5,5.314,8.44,0.1242,1.2086,14620.0,14615.0,4.4769,17813.0,11.787,381.14,17420.0,1.0,0.8207488912591927,0.0
Sn,10.5,3.266,12.76,0.1248,1.6938,2291.2,2290.8,0.35309,3346.5,6.7638,141.17,3198.6,1.0,0.6846556103391602,0.0
Sn,10.5,2.246,17.34,0.1384,2.1436,734.56,734.48,0.080355,1231.5,2.5698,84.54,1144.3,1.0,0.5964758424685342,0.0
Sn,10.5,6.845,7.441,0.1765,1.2105,32503.0,32485.0,18.028,34732.0,1.3206,491.91,34239.0,1.0,0.9358228722791662,0.0
Sn,10.5,5.301,10.05,0.1751,1.7081,7309.9,7308.1,1.7462,8334.8,0.7571,119.24,8214.8,1.0,0.8770336420789941,0.0
Sn,10.5,3.291,15.05,0.1752,2.3705,1250.5,1250.3,0.134,1629.3,0.42791,45.726,1583.1,1.0,0.7675075185662554,0.0
Sn,10.5,1.94,22.45,0.1922,3.0876,304.19,304.17,0.017855,465.33,0.13582,28.98,436.22,1.0,0.6537081211183461,0.0
